"offense","count","percent_of_total"
"Drug","4229","47.42%"
"Property","3734","41.87%"
"Violent","714","8.01%"
"Sex","122","1.37%"
"Aggravated Assault","120","1.35%"
"TOTAL","8919","100.00%"
