"offense","count","percent_of_total"
"Drug","3946","49.34%"
"Property","3216","40.21%"
"Aggravated Assault","111","1.39%"
"Violent","621","7.76%"
"Sex","104","1.30%"
"TOTAL","7998","100.00%"
