"offense","count","percent_of_total"
"Drug","3,523","48.18%"
"Property","2,987","40.85%"
"Aggravated Assault","84","1.15%"
"Violent","620","8.48%"
"Sex","98","1.34%"
"TOTAL","7,312","100.00%"
