"offense","count","percent_of_total"
"Drug","4,187","47.58%"
"Property","3,662","41.61%"
"Violent","714","8.11%"
"Sex","118","1.34%"
"Aggravated Assault","119","1.35%"
"TOTAL","8,800","100.00%"
