"offense","count","percent_of_total"
"Drug","4143","47.48%"
"Property","3612","41.39%"
"Violent","734","8.41%"
"Sex","122","1.40%"
"Aggravated Assault","115","1.32%"
"TOTAL","8726","100.00%"
