"offense","count","percent_of_total"
"Drug","3808","49.91%"
"Property","3025","39.65%"
"Aggravated Assault","82","1.07%"
"Violent","610","7.99%"
"Sex","105","1.38%"
"TOTAL","7630","100.00%"
