"offense","count","percent_of_total"
"Drug","4188","47.70%"
"Property","3645","41.52%"
"Violent","715","8.14%"
"Sex","121","1.38%"
"Aggravated Assault","110","1.25%"
"TOTAL","8779","100.00%"
