"offense","count","percent_of_total"
"Drug","3969","50.44%"
"Property","3074","39.07%"
"Aggravated Assault","101","1.28%"
"Violent","623","7.92%"
"Sex","101","1.28%"
"TOTAL","7868","100.00%"
