"offense","count","percent_of_total"
"Drug","4,090","50.02%"
"Property","3,289","40.23%"
"Aggravated Assault","83","1.02%"
"Violent","609","7.45%"
"Sex","105","1.28%"
"TOTAL","8,176","100.00%"
