"offense","count","percent_of_total"
"Drug","4306","50.42%"
"Property","3424","40.09%"
"Aggravated Assault","90","1.05%"
"Violent","622","7.28%"
"Sex","99","1.16%"
"TOTAL","8541","100.00%"
