"offense","count","percent_of_total"
"Drug","4723","51.00%"
"Property","3726","40.23%"
"Aggravated Assault","93","1.00%"
"Violent","629","6.79%"
"Sex","90",".97%"
"TOTAL","9261","100.00%"
