"offense","count","percent_of_total"
"Drug","4453","50.41%"
"Property","3564","40.34%"
"Aggravated Assault","94","1.06%"
"Violent","627","7.10%"
"Sex","96","1.09%"
"TOTAL","8834","100.00%"
