"offense","count","percent_of_total"
"Drug","3,760","50.05%"
"Property","2,934","39.05%"
"Aggravated Assault","86","1.14%"
"Violent","630","8.39%"
"Sex","103","1.37%"
"TOTAL","7,513","100.00%"
