"offense","count","percent_of_total"
"Drug","4853","51.68%"
"Property","3824","40.72%"
"Aggravated Assault","92",".98%"
"Violent","526","5.60%"
"Sex","96","1.02%"
"TOTAL","9391","100.00%"
