"offense","count","percent_of_total"
"Drug","5,348","53.99%"
"Property","3,853","38.90%"
"Aggravated Assault","84",".85%"
"Violent","531","5.36%"
"Sex","90",".91%"
"TOTAL","9,906","100.00%"
