"offense","count","percent_of_total"
"Drug","5,427","55.83%"
"Property","3,538","36.40%"
"Aggravated Assault","63",".65%"
"Violent","613","6.31%"
"Sex","80",".82%"
"TOTAL","9,721","100.00%"
