"offense","count","percent_of_total"
"Drug","4,571","50.80%"
"Property","3,608","40.10%"
"Aggravated Assault","94","1.04%"
"Violent","628","6.98%"
"Sex","97","1.08%"
"TOTAL","8,998","100.00%"
