"offense","count","percent_of_total"
"Drug","3525","48.72%"
"Property","2910","40.22%"
"Aggravated Assault","85","1.17%"
"Violent","616","8.51%"
"Sex","99","1.37%"
"TOTAL","7235","100.00%"
