"offense","count","percent_of_total"
"Drug","3919","50.06%"
"Property","3092","39.50%"
"Aggravated Assault","101","1.29%"
"Violent","614","7.84%"
"Sex","102","1.30%"
"TOTAL","7828","100.00%"
