"offense","count","percent_of_total"
"Drug","3983","50.37%"
"Property","3099","39.19%"
"Aggravated Assault","99","1.25%"
"Violent","622","7.87%"
"Sex","104","1.32%"
"TOTAL","7907","100.00%"
