"offense","count","percent_of_total"
"Drug","3,624","48.31%"
"Property","3,075","40.99%"
"Aggravated Assault","87","1.16%"
"Violent","616","8.21%"
"Sex","100","1.33%"
"TOTAL","7,502","100.00%"
