"offense","count","percent_of_total"
"Drug","5,208","53.58%"
"Property","3,805","39.15%"
"Aggravated Assault","84",".86%"
"Violent","533","5.48%"
"Sex","90",".93%"
"TOTAL","9,720","100.00%"
