"offense","count","percent_of_total"
"Drug","5,442","54.95%"
"Property","3,684","37.20%"
"Aggravated Assault","68",".69%"
"Violent","627","6.33%"
"Sex","83",".84%"
"TOTAL","9,904","100.00%"
