"offense","count","percent_of_total"
"Drug","3802","50.11%"
"Property","2970","39.15%"
"Aggravated Assault","85","1.12%"
"Violent","627","8.26%"
"Sex","103","1.36%"
"TOTAL","7587","100.00%"
