"OFFENSE","NO. OF OFFENDERS","% of TOTAL OFFENDERS"
"Drug","4,521","65.92%"
"Property","1,669","24.34%"
"Violent","623","9.08%"
"Sex","45",".66%"
"TOTAL","6,858","100.00%"
