"offense","count","percent_of_total"
"Drug","4,106","48.76%"
"Property","3,557","42.24%"
"Aggravated Assault","122","1.45%"
"Violent","527","6.26%"
"Sex","109","1.29%"
"TOTAL","8,421","100.00%"
