"offense","count","percent_of_total"
"Drug","4829","62.12%"
"Property","2245","28.88%"
"Aggravated Assault","37",".48%"
"Violent","582","7.49%"
"Sex","81","1.04%"
"TOTAL","7774","100.00%"
