"offense","count","percent_of_total"
"Drug","4160","48.73%"
"Property","3613","42.32%"
"Aggravated Assault","124","1.45%"
"Violent","533","6.24%"
"Sex","107","1.25%"
"TOTAL","8537","100.00%"
