"offense","count","percent_of_total"
"Drug","4,400","65.45%"
"Property","1,672","24.87%"
"Aggravated Assault","26",".39%"
"Violent","563","8.37%"
"Sex","62",".92%"
"TOTAL","6,723","100.00%"
