"offense","count","percent_of_total"
"Drug","4,901","60.83%"
"Property","2,463","30.57%"
"Aggravated Assault","36",".45%"
"Violent","579","7.19%"
"Sex","78",".97%"
"TOTAL","8,057","100.00%"
