"offense","count","percent_of_total"
"Drug","4,264","50.44%"
"Property","3,386","40.06%"
"Aggravated Assault","84",".99%"
"Violent","618","7.31%"
"Sex","101","1.19%"
"TOTAL","8,453","100.00%"
