"offense","count","percent_of_total"
"Drug","4115","48.15%"
"Property","3533","41.34%"
"Aggravated Assault","114","1.33%"
"Violent","675","7.90%"
"Sex","109","1.28%"
"TOTAL","8546","100.00%"
