Label (Grouping),Total:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Population of two races:,White; Black or African American,White; American Indian and Alaska Native,White; Asian,White; Native Hawaiian and Other Pacific Islander,White; Some Other Race,Black or African American; American Indian and Alaska Native,Black or African American; Asian,Black or African American; Native Hawaiian and Other Pacific Islander,Black or African American; Some Other Race,American Indian and Alaska Native; Asian,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,American Indian and Alaska Native; Some Other Race,Asian; Native Hawaiian and Other Pacific Islander,Asian; Some Other Race,Native Hawaiian and Other Pacific Islander; Some Other Race,Population of three races:,White; Black or African American; American Indian and Alaska Native,White; Black or African American; Asian,White; Black or African American; Native Hawaiian and Other Pacific Islander,White; Black or African American; Some Other Race,White; American Indian and Alaska Native; Asian,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,White; American Indian and Alaska Native; Some Other Race,White; Asian; Native Hawaiian and Other Pacific Islander,White; Asian; Some Other Race,White; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Black or African American; American Indian and Alaska Native; Some Other Race,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Black or African American; Asian; Some Other Race,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,American Indian and Alaska Native; Asian; Some Other Race,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Population of four races:,White; Black or African American; American Indian and Alaska Native; Asian,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,White; Black or African American; American Indian and Alaska Native; Some Other Race,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,White; Black or African American; Asian; Some Other Race,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,White; American Indian and Alaska Native; Asian; Some Other Race,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Black or African American; American Indian and Alaska Native; Asian; Some Other Race,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Population of five races:,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Population of six races:,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
Franklin,6069,5974,3973,1973,4,10,0,14,95,76,18,36,0,0,7,7,0,1,0,0,0,7,0,0,0,10,0,0,0,4,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,9,0,0,3,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
George,18253,17643,15922,1342,84,53,1,241,610,590,40,350,27,0,158,2,0,2,6,0,0,0,0,5,0,16,7,1,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene,10824,10579,7696,2757,56,18,2,50,245,237,26,104,13,0,81,0,1,0,6,1,0,3,2,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
Grenada,16697,16269,9109,6992,34,74,1,59,428,397,108,143,15,1,87,37,1,1,2,0,0,1,0,1,0,23,5,0,0,1,2,0,9,0,1,0,0,0,2,0,3,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,36202,34185,30355,2837,225,350,9,409,2017,1896,152,696,115,17,847,34,0,0,33,0,0,2,0,0,0,102,31,3,0,9,2,0,29,12,6,0,0,2,3,4,0,0,0,1,0,0,18,9,0,1,0,0,1,0,0,4,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0
Harrison,159463,149792,103499,36383,799,4903,215,3993,9671,9134,1120,2511,917,71,3662,241,119,27,292,24,0,60,58,29,3,482,146,33,4,52,43,3,128,18,31,0,0,0,17,7,0,0,0,0,0,0,44,10,5,20,1,2,0,5,0,0,0,0,1,0,0,0,11,6,5,0,0,0,0,0,0
Hinds,177425,173476,50077,119372,299,1790,43,1895,3949,3662,1162,699,174,9,854,383,70,19,256,4,0,15,0,12,5,261,144,10,1,42,8,2,21,5,13,0,9,0,2,4,0,0,0,0,0,0,20,6,2,5,0,0,0,1,1,0,0,0,0,0,5,0,6,1,4,0,0,0,1,0,0
Holmes,12981,12777,2140,10577,23,11,2,24,204,182,110,15,4,0,16,25,0,1,11,0,0,0,0,0,0,21,17,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humphreys,5872,5734,1242,4449,4,10,0,29,138,126,72,19,0,1,2,16,6,0,7,0,3,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,2,0,0
Issaquena,1157,1140,479,646,3,2,0,10,17,11,4,1,0,0,0,0,0,0,1,0,0,1,0,0,4,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itawamba,18529,18092,16614,1261,41,44,0,132,437,419,38,232,3,0,131,3,2,0,2,3,0,5,0,0,0,15,9,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1
Jackson,109676,103553,74951,22212,563,2574,90,3163,6123,5804,568,1800,467,45,2440,131,66,16,185,4,0,12,27,19,24,291,101,16,0,51,13,2,71,15,9,0,2,0,5,0,4,0,0,0,0,2,24,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0
Jasper,12708,12494,6150,6242,19,8,0,75,214,195,65,60,4,4,36,18,0,0,3,0,0,3,1,0,1,19,3,3,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
