Label (Grouping),Total:,Population of one race:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Population of two races:,White; Black or African American,White; American Indian and Alaska Native,White; Asian,White; Native Hawaiian and Other Pacific Islander,White; Some Other Race,Black or African American; American Indian and Alaska Native,Black or African American; Asian,Black or African American; Native Hawaiian and Other Pacific Islander,Black or African American; Some Other Race,American Indian and Alaska Native; Asian,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,American Indian and Alaska Native; Some Other Race,Asian; Native Hawaiian and Other Pacific Islander,Asian; Some Other Race,Native Hawaiian and Other Pacific Islander; Some Other Race,Population of three races:,White; Black or African American; American Indian and Alaska Native,White; Black or African American; Asian,White; Black or African American; Native Hawaiian and Other Pacific Islander,White; Black or African American; Some Other Race,White; American Indian and Alaska Native; Asian,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,White; American Indian and Alaska Native; Some Other Race,White; Asian; Native Hawaiian and Other Pacific Islander,White; Asian; Some Other Race,White; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Black or African American; American Indian and Alaska Native; Some Other Race,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Black or African American; Asian; Some Other Race,Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,American Indian and Alaska Native; Asian; Some Other Race,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Population of four races:,White; Black or African American; American Indian and Alaska Native; Asian,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,White; Black or African American; American Indian and Alaska Native; Some Other Race,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,White; Black or African American; Asian; Some Other Race,White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,White; American Indian and Alaska Native; Asian; Some Other Race,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Black or African American; American Indian and Alaska Native; Asian; Some Other Race,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Population of five races:,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,Population of six races:,White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
Jefferson,5578,5500,799,4667,9,15,5,5,78,65,41,5,0,0,0,15,0,0,1,0,0,2,1,0,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Davis,8964,8782,3609,5120,11,18,0,24,182,166,73,43,0,3,18,20,5,0,3,0,0,1,0,0,0,11,6,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jones,50776,49503,33431,13700,304,214,25,1829,1273,1209,233,360,59,4,450,48,16,4,15,2,3,12,0,3,0,49,26,1,0,3,7,0,6,2,0,0,0,0,0,0,0,0,0,0,1,3,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,2,2
Kemper,7169,7064,2452,4269,302,6,9,26,105,104,45,27,1,2,5,13,0,0,9,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,45658,43903,32899,8872,57,1432,22,621,1755,1698,161,521,229,16,675,29,9,5,30,2,4,14,2,1,0,53,28,6,0,3,2,0,10,0,0,0,1,0,3,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamar,47683,45911,34252,9975,105,823,27,729,1772,1672,209,604,151,9,560,47,15,8,40,0,0,14,15,0,0,81,43,0,0,4,4,1,22,0,0,0,5,0,1,0,0,0,0,0,1,0,16,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
Lauderdale,55594,54253,29745,23246,110,457,22,673,1341,1232,293,381,83,11,277,86,15,5,64,1,0,4,4,8,0,79,32,1,0,3,10,3,19,1,0,0,1,0,3,6,0,0,0,0,0,0,24,8,8,3,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,5,5
Lawrence,9042,8835,6011,2709,17,33,4,61,207,194,31,86,10,0,52,7,0,0,7,0,0,0,0,0,1,10,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leake,15843,15564,8137,5977,850,64,7,529,279,265,70,58,5,6,73,23,0,0,15,0,2,11,0,0,2,8,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2
Lee,63696,61910,42659,17404,128,696,15,1008,1786,1680,281,642,95,8,522,77,6,3,29,2,1,8,0,3,3,96,56,0,0,10,0,0,17,7,0,0,1,0,1,0,0,0,0,4,0,0,8,2,0,3,2,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
Leflore,20986,20564,5029,14939,24,172,0,400,422,395,204,57,11,0,59,24,14,0,19,0,0,6,0,0,1,26,15,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,26514,25963,17878,7782,54,126,6,117,551,498,112,194,32,3,110,23,6,0,15,0,0,3,0,0,0,43,12,3,6,6,1,0,5,5,0,0,0,0,0,4,1,0,0,0,0,0,7,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,1,1
Lowndes,45651,44393,24046,19455,104,441,16,331,1258,1183,252,334,132,6,337,48,20,0,40,0,0,7,3,3,1,67,38,1,0,4,2,0,3,7,4,0,2,0,4,0,0,0,1,0,0,1,7,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Madison,82961,80688,47826,28645,206,2367,20,1624,2273,2162,399,594,199,5,770,72,24,3,61,14,0,7,4,9,1,102,53,2,0,8,1,0,28,2,5,0,2,1,0,0,0,0,0,0,0,0,9,2,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Marion,18669,18282,12372,5690,45,50,0,125,387,350,59,159,19,3,91,11,3,0,0,0,0,0,1,4,0,32,17,0,0,0,7,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall,27156,26428,13687,11894,86,65,18,678,728,678,162,201,19,13,211,39,11,3,11,0,0,0,8,0,0,42,18,6,0,0,0,0,9,4,3,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,4,4
Monroe,26628,26043,17941,7869,38,56,0,139,585,553,146,210,25,0,149,16,1,0,3,3,0,0,0,0,0,24,18,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0
Montgomery,7741,7597,4228,3297,11,19,1,41,144,140,49,41,0,1,27,10,3,0,2,3,0,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neshoba,21219,20795,12948,4504,3120,97,0,126,424,382,90,148,16,4,74,29,0,0,5,4,0,9,1,0,2,33,16,0,0,0,1,0,11,0,0,0,0,0,3,0,1,1,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,1,1
Newton,16144,15828,10167,4800,696,57,0,108,316,297,93,114,13,0,59,7,0,0,1,2,0,6,0,2,0,14,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1
Noxubee,7805,7606,2115,5432,12,7,0,40,199,186,115,24,3,0,24,8,0,0,7,0,0,0,0,0,5,10,1,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Oktibbeha,42786,41605,25631,14127,99,1221,7,520,1181,1118,182,331,141,6,355,40,18,2,31,1,2,1,0,8,0,54,24,2,5,4,0,2,8,2,1,0,4,0,0,2,0,0,0,0,0,0,9,0,1,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panola,25135,24576,12759,11501,41,51,7,217,559,536,155,162,17,2,128,32,6,0,32,0,2,0,0,0,0,18,10,0,1,0,0,0,0,0,1,0,3,0,2,1,0,0,0,0,0,0,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Pearl River,43337,41125,35115,5040,252,227,2,489,2212,2106,149,851,100,9,913,39,8,0,23,4,0,8,0,2,0,89,22,5,2,9,9,0,29,2,4,0,0,0,3,4,0,0,0,0,0,0,15,1,0,0,0,3,0,7,0,0,0,0,1,0,3,0,2,0,2,0,0,0,0,0,0
Perry,9011,8813,7063,1647,42,23,0,38,198,184,20,96,3,5,46,3,1,0,0,0,0,0,6,4,0,6,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Pike,30676,29896,13778,15616,94,188,0,220,780,744,182,237,22,5,200,65,1,6,24,0,0,0,2,0,0,32,21,0,0,7,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
