"Facility","Jul ('13)","Aug","Sep","Oct"
"Mississippi State Penitentiary","3,383","3,382","3,376","3,361"
"Central Mississippi Correctional Facility","3,383","3,317","3,321","3,289"
"Youthful Offender Unit","35","35","34","39"
"South Mississippi Correctional Institution","3,241","3,231","3,229","3,218"
"County Jails","2,291","2,237","2,239","2,235"
"Community Work Centers","1,479","1,445","1,400","1,391"
"County/Regional Facilities","4,426","4,425","4,427","4,424"
"Private Prisons","4,322","4,398","4,390","4,416"
"Restitution Centers","11","13","11","10"
"Total","22,570","22,483","22,425","22,385"
"Actual Capacity","25,681","25,681","25,691","25,691"
