"Classification","Black","White","Hispanic","Other","Unknown","Total"
"Minimum - Community","122","254","2","1","0","379"
"Minimum - Non-Community","168","260","3","0","0","431"
"Medium","389","341","3","3","0","736"
"Close","28","11","0","0","0","39"
"DR","0","2","0","0","0","2"
"Unclassified","177","273","4","3","0","457"
"Total","884","1,141","12","7","0","2,044"
