"AGE","MALE","FEMALE","TOTAL","PERCENT"
"16","8","0","8","0.03%"
"17","28","1","29","0.12%"
"18-19","225","5","230","0.98%"
"20-29","6,671","544","7,215","30.65%"
"30-39","7,008","749","7,757","32.96%"
"40-49","4,234","460","4,694","19.94%"
"50-59","2,496","227","2,723","11.57%"
"60-69","682","49","731","3.11%"
"70-79","126","8","134","0.57%"
"80+","16","0","16","0.07%"
"Unknown","0","1","1","0.00%"
"Total","21,494","2,044","23,538","100.00%"
