"RACE","MALE","FEMALE","TOTAL","PERCENT"
"White","6,839","1,141","7,980","33.90%"
"Black","14,423","884","15,307","65.03%"
"Hispanic","162","12","174","0.74%"
"Other","70","7","77","0.33%"
"Total","21,494","2,044","23,538","100.00%"
