"Classification","Male and Female","Percent"
"Minimum - Community","3,006","12.77%"
"Minimum - Non-Community","3,531","15.00%"
"Medium","11,925","50.66%"
"Close","3,222","13.69%"
"DR","48","0.20%"
"Unclassified","1,806","7.67%"
"Total","23,538","100.00%"
