"Sentence Length","Male and Female","Percent"
"Less than 1 Year","885","3.76%"
"1 - 2 Years","2,062","8.76%"
"3 - 5 Years","4,413","18.75%"
"6 - 10 Years","5,947","25.27%"
"11 - 20 Years","5,382","22.87%"
"21 - 30 Years","1,745","7.41%"
"Greater than 30 Years","971","4.13%"
"Life","2,085","8.86%"
"Death","48","0.20%"
"Total","23,538","100.00%"
