"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4627","4102","29.76%"
"Central Mississippi Correctional Facility","3665","3464","25.13%"
"South Mississippi Correctional Institution","3204","3085","22.38%"
"County Jails - Approved*","1777","1092","7.92%"
"County Jails - Unapproved**","0","316","2.29%"
"Community Work Centers","1848","1726","12.52%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15121","13785","100.00%"
"Bolivar County Correctional Facility","294","281","9.58%"
"Carroll County Correctional Facility","280","266","9.07%"
"George County Correctional Facility","280","266","9.07%"
"Holmes County Correctional Facility","280","266","9.07%"
"Issaquena County Correctional Facility","274","260","8.87%"
"Jefferson County Correctional Facility","280","266","9.07%"
"Kemper County Correctional Facility","280","265","9.04%"
"Leake County Correctional Facility","280","265","9.04%"
"Marion County Correctional Facility","280","266","9.07%"
"Stone County Correctional Facility","280","266","9.07%"
"Winston County Correctional Facility","280","265","9.04%"
"TOTAL REGIONAL FACILITIES","3088","2932","100.00%"
"Delta Correctional Facility","972","954","17.44%"
"East MS Correctional Facility","1500","1360","24.86%"
"Marshall County Correctional Facility","1000","981","17.93%"
"Walnut Grove Correctional Facility","1500","1206","22.04%"
"Wilkinson County Correctional Facility","1000","970","17.73%"
"TOTAL PRIVATE PRISONS","5972","5471","100.00%"
"Community Trusties","022","17","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","126","0.49%"
"Court Order","0","296","1.14%"
"TOTAL CAPACITY & CUSTODY POPULATION","24203","22627","87.15%"
"Intensive Supervision Program","0","1172","4.51%"
"Earned Release Supervision Program","00","1748","6.73%"
"Medical Release","0","36","0.14%"
"TOTAL COMMUNITY CORRECTIONS","00","2956","11.39%"
"Other Custody","0","320","1.23%"
"Off-Grounds Medical (Hospital)","0","10","0.04%"
"At Large (Escapees & Walk-Aways)","0","49","0.19%"
"TOTAL","24203","25962","100.00%"
