"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4,534","4,489","32.74%"
"Central Mississippi Correctional Facility","3,425","3,368","24.56%"
"South Mississippi Correctional Institution","2,684","2,581","18.82%"
"County Jails - Approved*","1,793","1,353","9.87%"
"County Jails - Unapproved**","0","145","1.06%"
"Community Work Centers","1,816","1,775","12.95%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,252","13,711","100.00%"
"Bolivar County Correctional Facility","294","289","9.50%"
"Carroll County Correctional Facility","280","279","9.17%"
"George County Correctional Facility","280","277","9.10%"
"Holmes County Correctional Facility","280","279","9.17%"
"Issaquena County Correctional Facility","274","266","8.74%"
"Jefferson County Correctional Facility","274","273","8.97%"
"Kemper County Correctional Facility","280","273","8.97%"
"Leake County Correctional Facility","280","278","9.14%"
"Marion County Correctional Facility","280","274","9.00%"
"Stone County Correctional Facility","280","278","9.14%"
"Winston County Correctional Facility","280","277","9.10%"
"TOTAL REGIONAL FACILITIES","3,082","3,043","100.00%"
"Delta Correctional Facility","972","967","19.77%"
"East MS Correctional Facility","1,000","879","17.97%"
"Marshall County Correctional Facility","1,000","991","20.26%"
"Tallahatchie County Correctional Facility","128","128","2.62%"
"Walnut Grove Correctional Facility","1,000","954","19.50%"
"Wilkinson County Correctional Facility","1,000","973","19.89%"
"TOTAL PRIVATE PRISONS","5,100","4,892","100.00%"
"Community Trusties","2","17","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","61","0.24%"
"Court Order","0","335","1.32%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,456","22,059","87.14%"
"Intensive Supervision Program","0","1,175","4.64%"
"Earned Release Supervision Program","0","1,655","6.54%"
"Medical Release","00","9","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","2,839","11.22%"
"Other Custody","0","316","1.25%"
"Off-Grounds Medical (Hospital)","0","15","0.06%"
"At Large (Escapees & Walk-Aways)","0","85","0.34%"
"TOTAL","22,456","25,314","100.00%"
