"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4792","4589","34.89%"
"Central Mississippi Correctional Facility","3233","2907","22.10%"
"South Mississippi Correctional Institution","2214","2153","16.37%"
"County Jails - Approved*","2327","1575","11.98%"
"County Jails - Unapproved**","0","227","1.73%"
"Community Work Centers","1816","1701","12.93%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14382","13152","100.00%"
"Bolivar County Correctional Facility","250","248","9.07%"
"Carroll County Correctional Facility","250","250","9.15%"
"George County Correctional Facility","250","248","9.07%"
"Holmes County Correctional Facility","250","248","9.07%"
"Issaquena County Correctional Facility","250","248","9.07%"
"Jefferson County Correctional Facility","250","249","9.11%"
"Kemper County Correctional Facility","250","249","9.11%"
"Leake Correctional Facility","250","249","9.11%"
"Marion County Correctional Facility","250","246","9.00%"
"Stone County Correctional Facility","250","248","9.07%"
"Winston County Correctional Facility","250","250","9.15%"
"TOTAL REGIONAL FACILITIES","2750","2733","100.00%"
"Delta Correctional Facility","960","955","19.99%"
"East MS Correctional Facility","1000","870","18.21%"
"Marshall County Correctional Facility","1000","994","20.80%"
"Tallahatchie County Correctional Facility","128","127","2.66%"
"Walnut Grove Correctional Facility","1000","854","17.87%"
"Wilkinson County Correctional Facility","1000","978","20.47%"
"TOTAL PRIVATE PRISONS","5088","4778","100.00%"
"Community Trusties","4","16","0.06%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","322","1.30%"
"Court Order","0","0","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","22244","21001","84.60%"
"Intensive Supervision Program","0","1536","6.19%"
"Earned Release Supervision Program","0","1887","7.60%"
"Medical Release","00","7","0.03%"
"TOTAL COMMUNITY CORRECTIONS","0","3430","13.82%"
"Other Custody","0","273","1.10%"
"Off-Grounds Medical (Hospital)","0","11","0.04%"
"At Large (Escapees & Walk-Aways)","0","110","0.44%"
"TOTAL","22244","24825","100.00%"
