"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4,527","4,326","30.62%"
"Central Mississippi Correctional Facility","3,515","3,450","24.42%"
"South Mississippi Correctional Institution","3,164","3,063","21.68%"
"County Jails - Approved*","1,589","1,290","9.13%"
"County Jails - Unapproved**","0","197","1.39%"
"Community Work Centers","1,848","1,801","12.75%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,643","14,127","100.00%"
"Bolivar County Correctional Facility","294","282","9.29%"
"Carroll County Correctional Facility","280","277","9.13%"
"George County Correctional Facility","280","279","9.20%"
"Holmes County Correctional Facility","280","265","8.73%"
"Issaquena County Correctional Facility","274","272","8.97%"
"Jefferson County Correctional Facility","280","275","9.06%"
"Kemper County Correctional Facility","280","278","9.16%"
"Leake County Correctional Facility","280","277","9.13%"
"Marion County Correctional Facility","280","278","9.16%"
"Stone County Correctional Facility","280","276","9.10%"
"Winston County Correctional Facility","280","275","9.06%"
"TOTAL REGIONAL FACILITIES","3,088","3,034","100.00%"
"Delta Correctional Facility","972","974","20.40%"
"East MS Correctional Facility","1,000","873","18.29%"
"Marshall County Correctional Facility","1,000","991","20.76%"
"Tallahatchie County Correctional Facility","0","0","0.00%"
"Walnut Grove Correctional Facility","1,000","943","19.75%"
"Wilkinson County Correctional Facility","1,000","993","20.80%"
"TOTAL PRIVATE PRISONS","4,972","4,774","100.00%"
"Community Trusties","2","17","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","111","0.43%"
"Court Order","0","272","1.06%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,725","22,335","86.94%"
"Intensive Supervision Program","0","1,188","4.62%"
"Earned Release Supervision Program","0","1,752","6.82%"
"Medical Release","00","13","0.05%"
"TOTAL COMMUNITY CORRECTIONS","00","2,953","11.49%"
"Other Custody","0","323","1.26%"
"Off-Grounds Medical (Hospital)","0","5","0.02%"
"At Large (Escapees & Walk-Aways)","0","74","0.29%"
"TOTAL","22,725","25,690","100.00%"
