"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4,534","4,507","33.09%"
"Central Mississippi Correctional Facility","3,381","3,416","25.08%"
"South Mississippi Correctional Institution","2,484","2,383","17.50%"
"County Jails - Approved*","1,741","1,415","10.39%"
"County Jails - Unapproved**","0","139","1.02%"
"Community Work Centers","1,816","1,759","12.92%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,956","13,619","100.00%"
"Bolivar County Correctional Facility","294","294","9.56%"
"Carroll County Correctional Facility","280","280","9.11%"
"George County Correctional Facility","280","280","9.11%"
"Holmes County Correctional Facility","280","280","9.11%"
"Issaquena County Correctional Facility","274","272","8.85%"
"Jefferson County Correctional Facility","274","273","8.88%"
"Kemper County Correctional Facility","280","279","9.08%"
"Leake County Correctional Facility","280","281","9.14%"
"Marion County Correctional Facility","280","280","9.11%"
"Stone County Correctional Facility","280","279","9.08%"
"Winston County Correctional Facility","280","276","8.98%"
"TOTAL REGIONAL FACILITIES","3,082","3,074","100.00%"
"Delta Correctional Facility","972","966","19.77%"
"East MS Correctional Facility","1,000","882","18.05%"
"Marshall County Correctional Facility","1,000","996","20.38%"
"Tallahatchie County Correctional Facility","128","128","2.62%"
"Walnut Grove Correctional Facility","1,000","948","19.40%"
"Wilkinson County Correctional Facility","1,000","966","19.77%"
"TOTAL PRIVATE PRISONS","5,100","4,886","100.00%"
"Community Trusties","2","17","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","77","0.30%"
"Court Order","0","318","1.24%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,160","21,991","86.01%"
"Intensive Supervision Program","0","1,455","5.69%"
"Earned Release Supervision Program","0","1,707","6.68%"
"Medical Release","00","9","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3,171","12.40%"
"Other Custody","0","294","1.15%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","104","0.41%"
"TOTAL","22,160","25,569","100.00%"
