"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","3590","3401","16.24%"
"Central Mississippi Correctional Facility","3750","3462","16.53%"
"South Mississippi Correctional Institution","3082","2657","12.69%"
"Youthful Offender Facility","58","32","0.15%"
"County Jails - Approved","1781","670","3.20%"
"County Jails - Unapproved","0","357","1.71%"
"Community Work Centers","1154","664","3.17%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13415","11243","53.70%"
"Alcorn County Correctional Facility","300","290","1.39%"
"Bolivar County Correctional Facility","369","280","1.34%"
"Carroll County Correctional Facility","280","265","1.27%"
"Chickasaw County Correctional Facility","310","295","1.41%"
"George County Correctional Facility","280","312","1.49%"
"Holmes County Correctional Facility","280","268","1.28%"
"Issaquena County Correctional Facility","274","262","1.25%"
"Jefferson County Correctional Facility","280","274","1.31%"
"Kemper County Correctional Facility","355","327","1.56%"
"Leake County Correctional Facility","280","273","1.30%"
"Marion County Correctional Facility","280","276","1.32%"
"Stone County Correctional Facility","326","318","1.52%"
"Washington County Correctional Facility","300","195","0.93%"
"Winston County Correctional Facility","280","262","1.25%"
"Yazoo County Correctional Facility","300","289","1.38%"
"TOTAL REGIONAL FACILITIES","4494","4186","19.99%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1500","1246","5.95%"
"Marshall County Correctional Facility","1000","999","4.77%"
"Walnut Grove Correctional Facility","1500","0","0.00%"
"Wilkinson County Correctional Facility","1000","922","4.40%"
"TOTAL PRIVATE PRISONS","5972","3167","15.13%"
