"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","5,024","4,917","34.84%"
"Central Mississippi Correctional Facility","3,233","3,141","22.25%"
"South Mississippi Correctional Institution","2,224","2,177","15.42%"
"County Jails - Approved*","2,176","1,859","13.17%"
"County Jails - Unapproved**","0","279","1.98%"
"Community Work Centers","1816","1,741","12.34%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,473","14,114","100.00%"
"Bolivar County Correctional Facility","250","247","9.05%"
"Carroll County Correctional Facility","250","248","9.09%"
"GeorgeCounty Correctional Facility","250","249","9.12%"
"Holmes County Correctional Facility","250","247","9.05%"
"Issaquena County Correctional Facility","250","249","9.12%"
"Jefferson County Correctional Facility","250","247","9.05%"
"Kemper County Correctional Facility","250","249","9.12%"
"Leake Correctional Facility","250","248","9.09%"
"Marion County Correctional Facility","250","253","9.27%"
"Stone County Correctional Facility","250","248","9.09%"
"Winston County Correctional Facility","250","244","8.94%"
"Regional Facilities","2,750","2,729","100.00%"
"Delta Correctional Facility (reopened 04-01-04)","960","946","21.45%"
"East MS Correctional Facility","1,000","731","16.58%"
"Marshall County Correctional Facility","1,000","992","22.49%"
"Walnut Grove Correctional Facility","1,000","744","16.87%"
"Wilkinson County Correctional Facility","1,000","997","22.61%"
"TOTAL PRIVATE PRISONS","4,960","4,410","100.00%"
"Community Trusties","30","24","0.10%"
"Emergency Suspension","00","00","0.00%"
"Court Order","0","0","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,213","21,277","88.19%"
"Intensive Supervision Program","0","1,306","5.41%"
"Earned Release Supervision Program","0","1,274","5.28%"
"Medical Release","0","0","0.00%"
"TOTAL COMMUNITY CORRECTIONS","0","2,580","10.69%"
"Other Custody","0","225","0.93%"
"University of MS Medical Center","0","0","0.00%"
"At Large (Escapees & Walk-Aways)","0","44","0.18%"
"TOTAL","22,213","24,126","100.00%"
