"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4527","4208","29.71%"
"Central Mississippi Correctional Facility","3665","3532","24.94%"
"South Mississippi Correctional Institution","3204","3091","21.82%"
"County Jails - Approved*","1661","1388","9.80%"
"County Jails - Unapproved**","0","219","1.55%"
"Community Work Centers","1848","1726","12.19%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14905","14164","100.00%"
"Bolivar County Correctional Facility","294","283","9.33%"
"Carroll County Correctional Facility","280","280","9.23%"
"George County Correctional Facility","280","275","9.07%"
"Holmes County Correctional Facility","280","266","8.77%"
"Issaquena County Correctional Facility","274","268","8.84%"
"Jefferson County Correctional Facility","280","277","9.14%"
"Kemper County Correctional Facility","280","278","9.17%"
"Leake County Correctional Facility","280","277","9.14%"
"Marion County Correctional Facility","280","275","9.07%"
"Stone County Correctional Facility","280","277","9.14%"
"Winston County Correctional Facility","280","276","9.10%"
"TOTAL REGIONAL FACILITIES","3088","3032","100.00%"
"Delta Correctional Facility","972","971","20.37%"
"East MS Correctional Facility","1000","872","18.29%"
"Marshall County Correctional Facility","1000","996","20.89%"
"Tallahatchie County Correctional Facility","0","0","0.00%"
"Walnut Grove Correctional Facility","1000","937","19.66%"
"Wilkinson County Correctional Facility","1000","991","20.79%"
"TOTAL PRIVATE PRISONS","4972","4767","100.00%"
"Community Trusties","2","18","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","127","0.49%"
"Court Order","0","355","1.38%"
"TOTAL CAPACITY & CUSTODY POPULATION","22987","22463","87.11%"
"Intensive Supervision Program","0","1184","4.59%"
"Earned Release Supervision Program","0","1733","6.72%"
"Medical Release","00","12","0.05%"
"TOTAL COMMUNITY CORRECTIONS","00","2929","11.36%"
"Other Custody","0","324","1.26%"
"Off-Grounds Medical (Hospital)","0","4","0.02%"
"At Large (Escapees & Walk-Aways)","0","68","0.26%"
"TOTAL","22987","25788","100.00%"
