"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4,527","4,184","29.82%"
"Central Mississippi Correctional Facility","3,665","3,487","24.86%"
"South Mississippi Correctional Institution","3,204","3,041","21.68%"
"County Jails - Approved*","1,669","1,395","9.94%"
"County Jails - Unapproved**","0","172","1.23%"
"Community Work Centers","1,848","1,750","12.47%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,913","14,029","100.00%"
"Bolivar County Correctional Facility","294","284","9.34%"
"Carroll County Correctional Facility","280","281","9.24%"
"George County Correctional Facility","280","277","9.11%"
"Holmes County Correctional Facility","280","266","8.75%"
"Issaquena County Correctional Facility","274","274","9.01%"
"Jefferson County Correctional Facility","280","274","9.01%"
"Kemper County Correctional Facility","280","277","9.11%"
"Leake County Correctional Facility","280","277","9.11%"
"Marion County Correctional Facility","280","278","9.14%"
"Stone County Correctional Facility","280","276","9.08%"
"Winston County Correctional Facility","280","277","9.11%"
"TOTAL REGIONAL FACILITIES","3,088","3,041","100.00%"
"Delta Correctional Facility","972","969","20.27%"
"East MS Correctional Facility","1,000","870","18.20%"
"Marshall County Correctional Facility","1,000","997","20.85%"
"Tallahatchie County Correctional Facility","0","0","0.00%"
"Walnut Grove Correctional Facility","1,000","951","19.89%"
"Wilkinson County Correctional Facility","1,000","994","20.79%"
"TOTAL PRIVATE PRISONS","4,972","4,781","100.00%"
"Community Trusties","2","17","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","102","0.40%"
"Court Order","0","333","1.30%"
"TOTAL CAPACITY & CUSTODY POPULATION","22,995","22,303","86.91%"
"Intensive Supervision Program","0","1,212","4.72%"
"Earned Release Supervision Program","0","1,732","6.75%"
"Medical Release","00","12","0.05%"
"TOTAL COMMUNITY CORRECTIONS","00","2,956","11.52%"
"Other Custody","0","323","1.26%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","72","0.28%"
"TOTAL","22,995","25,663","100.00%"
