"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4529","4341","34.68%"
"Central Mississippi Correctional Facility","3233","3135","25.05%"
"South Mississippi Correctional Institution","2306","2030","16.22%"
"County Jails - Approved*","2177","1271","10.16%"
"County Jails - Unapproved**","0","52","0.42%"
"Community Work Centers","1816","1687","13.48%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14061","12516","100.00%"
"Bolivar County Correctional Facility","294","291","9.55%"
"Carroll County Correctional Facility","280","278","9.12%"
"George County Correctional Facility","280","281","9.22%"
"Holmes County Correctional Facility","280","280","9.19%"
"Issaquena County Correctional Facility","274","270","8.86%"
"Jefferson County Correctional Facility","250","247","8.11%"
"Kemper County Correctional Facility","280","279","9.16%"
"Leake County Correctional Facility","280","280","9.19%"
"Marion County Correctional Facility","280","278","9.12%"
"Stone County Correctional Facility","280","283","9.29%"
"Winston County Correctional Facility","280","280","9.19%"
"TOTAL REGIONAL FACILITIES","3058","3047","100.00%"
"Delta Correctional Facility","972","968","20.29%"
"East MS Correctional Facility","1000","853","17.88%"
"Marshall County Correctional Facility","1000","998","20.92%"
"Tallahatchie County Correctional Facility","128","127","2.66%"
"Walnut Grove Correctional Facility","1000","912","19.12%"
"Wilkinson County Correctional Facility","1000","912","19.12%"
"TOTAL PRIVATE PRISONS","5100","4770","100.00%"
"Community Trusties","2","18","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","18","0.07%"
"Court Order","0","393","1.60%"
"TOTAL CAPACITY & CUSTODY POPULATION","22241","20762","84.35%"
"Intensive Supervision Program","0","1606","6.52%"
"Earned Release Supervision Program","0","1791","7.28%"
"Medical Release","00","11","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3408","13.85%"
"Other Custody","0","303","1.23%"
"Off-Grounds Medical (Hospital)","0","6","0.02%"
"At Large (Escapees & Walk-Aways)","0","135","0.55%"
"TOTAL","22241","24614","100.00%"
