"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4527","4285","30.48%"
"Central Mississippi Correctional Facility","3515","3467","24.66%"
"South Mississippi Correctional Institution","3124","3038","21.61%"
"County Jails - Approved*","1589","1274","9.06%"
"County Jails - Unapproved**","0","186","1.32%"
"Community Work Centers","1848","1809","12.87%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14603","14059","100.00%"
"Bolivar County Correctional Facility","294","279","9.20%"
"Carroll County Correctional Facility","280","280","9.23%"
"George County Correctional Facility","280","278","9.17%"
"Holmes County Correctional Facility","280","265","8.74%"
"Issaquena County Correctional Facility","274","271","8.94%"
"Jefferson County Correctional Facility","280","276","9.10%"
"Kemper County Correctional Facility","280","279","9.20%"
"Leake County Correctional Facility","280","277","9.13%"
"Marion County Correctional Facility","280","276","9.10%"
"Stone County Correctional Facility","280","276","9.10%"
"Winston County Correctional Facility","280","276","9.10%"
"TOTAL REGIONAL FACILITIES","3088","3033","100.00%"
"Delta Correctional Facility","972","969","20.24%"
"East MS Correctional Facility","1000","886","18.51%"
"Marshall County Correctional Facility","1000","994","20.76%"
"Tallahatchie County Correctional Facility","0","0","0.00%"
"Walnut Grove Correctional Facility","1000","945","19.74%"
"Wilkinson County Correctional Facility","1000","993","20.74%"
"TOTAL PRIVATE PRISONS","4972","4787","100.00%"
"Community Trusties","022","17","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","83","0.32%"
"Court Order","0","321","1.25%"
"TOTAL CAPACITY & CUSTODY POPULATION","22685","22300","87.06%"
"Intensive Supervision Program","0","1193","4.66%"
"Earned Release Supervision Program","00","1700","6.64%"
"Medical Release","0","13","0.05%"
"TOTAL COMMUNITY CORRECTIONS","00","2906","11.35%"
"Other Custody","0","327","1.28%"
"Off-Grounds Medical (Hospital)","0","11","0.04%"
"At Large (Escapees & Walk-Aways)","0","70","0.27%"
"TOTAL","22685","25614","100.00%"
