"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4527","4449","32.25%"
"Central Mississippi Correctional Facility","3425","3359","24.35%"
"South Mississippi Correctional Institution","2884","2747","19.91%"
"County Jails - Approved*","1787","1314","9.52%"
"County Jails - Unapproved**","0","163","1.18%"
"Community Work Centers","1816","1764","12.79%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14439","13796","100.00%"
"Bolivar County Correctional Facility","294","281","9.29%"
"Carroll County Correctional Facility","280","280","9.25%"
"George County Correctional Facility","280","278","9.19%"
"Holmes County Correctional Facility","280","265","8.76%"
"Issaquena County Correctional Facility","274","271","8.96%"
"Jefferson County Correctional Facility","274","268","8.86%"
"Kemper County Correctional Facility","280","277","9.15%"
"Leake County Correctional Facility","280","278","9.19%"
"Marion County Correctional Facility","280","277","9.15%"
"Stone County Correctional Facility","280","277","9.15%"
"Winston County Correctional Facility","280","274","9.05%"
"TOTAL REGIONAL FACILITIES","3082","3026","100.00%"
"Delta Correctional Facility","972","969","20.33%"
"East MS Correctional Facility","1000","889","18.65%"
"Marshall County Correctional Facility","1000","988","20.73%"
"Tallahatchie County Correctional Facility","0","0","0.00%"
"Walnut Grove Correctional Facility","1000","934","19.60%"
"Wilkinson County Correctional Facility","1000","986","20.69%"
"TOTAL PRIVATE PRISONS","4972","4766","100.00%"
"Community Trusties","022","18","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","96","0.38%"
"Court Order","0","310","1.23%"
"TOTAL CAPACITY & CUSTODY POPULATION","22515","22012","87.27%"
"Intensive Supervision Program","0","1145","4.54%"
"Earned Release Supervision Program","00","1656","6.57%"
"Medical Release","0","8","0.03%"
"TOTAL COMMUNITY CORRECTIONS","00","2809","11.14%"
"Other Custody","0","314","1.24%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","79","0.31%"
"TOTAL","22515","25223","100.00%"
