"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4527","4418","31.63%"
"Central Mississippi Correctional Facility","3425","3456","24.74%"
"South Mississippi Correctional Institution","2884","2798","20.03%"
"County Jails - Approved*","1606","1335","9.56%"
"County Jails - Unapproved**","0","242","1.73%"
"Community Work Centers","1816","1718","12.30%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14258","13967","100.00%"
"Bolivar County Correctional Facility","294","281","9.30%"
"Carroll County Correctional Facility","280","279","9.24%"
"George County Correctional Facility","280","278","9.21%"
"Holmes County Correctional Facility","280","265","8.77%"
"Issaquena County Correctional Facility","274","265","8.77%"
"Jefferson County Correctional Facility","280","273","9.04%"
"Kemper County Correctional Facility","280","279","9.24%"
"Leake County Correctional Facility","280","276","9.14%"
"Marion County Correctional Facility","280","277","9.17%"
"Stone County Correctional Facility","280","275","9.11%"
"Winston County Correctional Facility","280","272","9.01%"
"TOTAL REGIONAL FACILITIES","3088","3020","100.00%"
"Delta Correctional Facility","972","969","20.33%"
"East MS Correctional Facility","1000","885","18.57%"
"Marshall County Correctional Facility","1000","989","20.75%"
"Tallahatchie County Correctional Facility","0","0","0.00%"
"Walnut Grove Correctional Facility","1000","935","19.62%"
"Wilkinson County Correctional Facility","1000","988","20.73%"
"TOTAL PRIVATE PRISONS","4972","4766","100.00%"
"Community Trusties","2","18","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","109","0.43%"
"Court Order","0","325","1.28%"
"TOTAL CAPACITY & CUSTODY POPULATION","22340","22205","87.24%"
"Intensive Supervision Program","0","1138","4.47%"
"Earned Release Supervision Program","0","1694","6.66%"
"Medical Release","00","13","0.05%"
"TOTAL COMMUNITY CORRECTIONS","00","2845","11.18%"
"Other Custody","0","315","1.24%"
"Off-Grounds Medical (Hospital)","0","10","0.04%"
"At Large (Escapees & Walk-Aways)","0","77","0.30%"
"TOTAL","22340","25452","100.00%"
