"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4,627","4,044","30.56%"
"Central Mississippi Correctional Facility","3,665","3,234","24.44%"
"South Mississippi Correctional Institution","3,204","2,962","22.39%"
"County Jails - Approved*","1,540","1,069","8.08%"
"County Jails - Unapproved**","0","239","1.81%"
"Community Work Centers","1,848","1,684","12.73%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,884","13,232","100.00%"
"Bolivar County Correctional Facility","294","278","9.51%"
"Carroll County Correctional Facility","280","266","9.10%"
"George County Correctional Facility","280","266","9.10%"
"Holmes County Correctional Facility","280","250","8.55%"
"Issaquena County Correctional Facility","274","270","9.24%"
"Jefferson County Correctional Facility","280","263","9.00%"
"Kemper County Correctional Facility","280","268","9.17%"
"Leake County Correctional Facility","280","266","9.10%"
"Marion County Correctional Facility","280","265","9.07%"
"Stone County Correctional Facility","280","265","9.07%"
"Winston County Correctional Facility","280","266","9.10%"
"TOTAL REGIONAL FACILITIES","3,088","2,923","100.00%"
"Delta Correctional Facility","972","956","17.43%"
"East MS Correctional Facility","1,500","1,351","24.64%"
"Marshall County Correctional Facility","1,000","985","17.96%"
"Walnut Grove Correctional Facility","1,500","1,220","22.25%"
"Wilkinson County Correctional Facility","1,000","972","17.72%"
"TOTAL PRIVATE PRISONS","5,972","5,484","100.00%"
"Community Trusties","2","17","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","164","0.65%"
"Court Order","0","235","0.93%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,966","22,055","87.01%"
"Intensive Supervision Program","0","1,256","4.95%"
"Earned Release Supervision Program","0","1,599","6.31%"
"Medical Release","00","39","0.15%"
"TOTAL COMMUNITY CORRECTIONS","00","2,894","11.42%"
"Other Custody","0","340","1.34%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","53","0.21%"
"TOTAL","23,966","25,349","100.00%"
