"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4529","4400","34.74%"
"Central Mississippi Correctional Facility","3233","3149","24.86%"
"South Mississippi Correctional Institution","2066","1985","15.67%"
"County Jails - Approved*","2167","1380","10.90%"
"County Jails - Unapproved**","0","48","0.38%"
"Community Work Centers","1816","1703","13.45%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13811","12665","100.00%"
"Bolivar County Correctional Facility","294","293","9.66%"
"Carroll County Correctional Facility","280","280","9.23%"
"George County Correctional Facility","280","280","9.23%"
"Holmes County Correctional Facility","280","279","9.20%"
"Issaquena County Correctional Facility","274","274","9.03%"
"Jefferson County Correctional Facility","250","248","8.17%"
"Kemper County Correctional Facility","280","280","9.23%"
"Leake County Correctional Facility","280","280","9.23%"
"Marion County Correctional Facility","280","279","9.20%"
"Stone County Correctional Facility","280","279","9.20%"
"Winston County Correctional Facility","280","262","8.64%"
"TOTAL REGIONAL FACILITIES","3058","3034","100.00%"
"Delta Correctional Facility","972","964","20.22%"
"East MS Correctional Facility","1000","863","18.10%"
"Marshall County Correctional Facility","1000","994","20.85%"
"Tallahatchie County Correctional Facility","128","126","2.64%"
"Walnut Grove Correctional Facility","1000","931","19.53%"
"Wilkinson County Correctional Facility","1000","889","18.65%"
"TOTAL PRIVATE PRISONS","5100","4767","100.00%"
"Community Trusties","2","17","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","24","0.10%"
"Court Order","0","384","1.55%"
"TOTAL CAPACITY & CUSTODY POPULATION","21991","20891","84.55%"
"Intensive Supervision Program","0","1579","6.39%"
"Earned Release Supervision Program","0","1774","7.18%"
"Medical Release","00","10","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3363","13.61%"
"Other Custody","0","302","1.22%"
"Off-Grounds Medical (Hospital)","0","13","0.05%"
"At Large (Escapees & Walk-Aways)","0","139","0.56%"
"TOTAL","21991","24708","100.00%"
