"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4730","4319","34.44%"
"Central Mississippi Correctional Facility","3219","3153","25.14%"
"South Mississippi Correctional Institution","2306","2209","17.61%"
"County Jails - Approved*","2240","1222","9.74%"
"County Jails - Unapproved**","0","35","0.28%"
"Community Work Centers","1816","1603","12.78%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14311","12541","100.00%"
"Bolivar County Correctional Facility","294","291","9.75%"
"Carroll County Correctional Facility","250","251","8.41%"
"George County Correctional Facility","280","278","9.31%"
"Holmes County Correctional Facility","280","279","9.35%"
"Issaquena County Correctional Facility","274","271","9.08%"
"Jefferson County Correctional Facility","250","249","8.34%"
"Kemper County Correctional Facility","280","279","9.35%"
"Leake County Correctional Facility","280","280","9.38%"
"Marion County Correctional Facility","280","277","9.28%"
"Stone County Correctional Facility","280","280","9.38%"
"Winston County Correctional Facility","250","250","8.38%"
"TOTAL REGIONAL FACILITIES","2998","2985","100.00%"
"Delta Correctional Facility","972","969","20.00%"
"East MS Correctional Facility","1000","863","17.81%"
"Marshall County Correctional Facility","1000","993","20.49%"
"Tallahatchie County Correctional Facility","128","128","2.64%"
"Walnut Grove Correctional Facility","1000","915","18.88%"
"Wilkinson County Correctional Facility","1000","978","20.18%"
"TOTAL PRIVATE PRISONS","5100","4846","100.00%"
"Community Trusties","2","17","0.07%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","48","0.19%"
"Court Order","0","350","1.41%"
"TOTAL CAPACITY & CUSTODY POPULATION","22431","20787","84.00%"
"Intensive Supervision Program","0","1673","6.76%"
"Earned Release Supervision Program","0","1857","7.50%"
"Medical Release","00","8","0.03%"
"TOTAL COMMUNITY CORRECTIONS","00","3538","14.30%"
"Other Custody","0","302","1.22%"
"Off-Grounds Medical (Hospital)","0","4","0.02%"
"At Large (Escapees & Walk-Aways)","0","114","0.46%"
"TOTAL","22431","24745","100.00%"
