"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4529","4310","34.40%"
"Central Mississippi Correctional Facility","3233","3106","24.79%"
"South Mississippi Correctional Institution","2306","2078","16.59%"
"County Jails - Approved*","2177","1261","10.06%"
"County Jails - Unapproved**","0","49","0.39%"
"Community Work Centers","1816","1725","13.77%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14061","12529","100.00%"
"Bolivar County Correctional Facility","294","293","9.62%"
"Carroll County Correctional Facility","280","279","9.16%"
"George County Correctional Facility","280","277","9.10%"
"Holmes County Correctional Facility","280","279","9.16%"
"Issaquena County Correctional Facility","274","273","8.97%"
"Jefferson County Correctional Facility","250","249","8.18%"
"Kemper County Correctional Facility","280","279","9.16%"
"Leake County Correctional Facility","280","280","9.20%"
"Marion County Correctional Facility","280","278","9.13%"
"Stone County Correctional Facility","280","279","9.16%"
"Winston County Correctional Facility","280","279","9.16%"
"TOTAL REGIONAL FACILITIES","3058","3045","100.00%"
"Delta Correctional Facility","972","966","20.28%"
"East MS Correctional Facility","1000","835","17.53%"
"Marshall County Correctional Facility","1000","997","20.93%"
"Tallahatchie County Correctional Facility","128","127","2.67%"
"Walnut Grove Correctional Facility","1000","923","19.37%"
"Wilkinson County Correctional Facility","1000","916","19.23%"
"TOTAL PRIVATE PRISONS","5100","4764","100.00%"
"Community Trusties","22","20","0.08%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","16","0.07%"
"Court Order","0","332","1.35%"
"TOTAL CAPACITY & CUSTODY POPULATION","22241","20706","84.24%"
"Intensive Supervision Program","0","1631","6.64%"
"Earned Release Supervision Program","0","1790","7.28%"
"Medical Release","00","11","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3432","13.96%"
"Other Custody","0","304","1.24%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","131","0.53%"
"TOTAL","22241","24580","100.00%"
