"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4627","3948","28.13%"
"Central Mississippi Correctional Facility","3665","3666","26.12%"
"South Mississippi Correctional Institution","3204","3105","22.12%"
"County Jails - Approved*","1798","1350","9.62%"
"County Jails - Unapproved**","0","207","1.47%"
"Community Work Centers","1848","1758","12.53%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15142","14034","100.00%"
"Bolivar County Correctional Facility","294","294","9.58%"
"Carroll County Correctional Facility","280","277","9.03%"
"George County Correctional Facility","280","280","9.12%"
"Holmes County Correctional Facility","280","279","9.09%"
"Issaquena County Correctional Facility","274","265","8.63%"
"Jefferson County Correctional Facility","280","278","9.06%"
"Kemper County Correctional Facility","280","278","9.06%"
"Leake County Correctional Facility","280","279","9.09%"
"Marion County Correctional Facility","280","279","9.09%"
"Stone County Correctional Facility","280","280","9.12%"
"Winston County Correctional Facility","280","280","9.12%"
"TOTAL REGIONAL FACILITIES","3088","3069","100.00%"
"Delta Correctional Facility","972","972","18.11%"
"East MS Correctional Facility","1500","1175","21.90%"
"Marshall County Correctional Facility","1000","1000","18.64%"
"Walnut Grove Correctional Facility","1500","1223","22.79%"
"Wilkinson County Correctional Facility","1000","996","18.56%"
"TOTAL PRIVATE PRISONS","5972","5366","100.00%"
"Community Trusties","022","21","0.08%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","147","0.56%"
"Court Order","0","350","1.32%"
"TOTAL CAPACITY & CUSTODY POPULATION","24224","22987","86.80%"
"Intensive Supervision Program","0","1226","4.63%"
"Earned Release Supervision Program","00","1852","6.99%"
"Medical Release","0","37","0.14%"
"TOTAL COMMUNITY CORRECTIONS","00","3115","11.76%"
"Other Custody","0","321","1.21%"
"Off-Grounds Medical (Hospital)","0","3","0.01%"
"At Large (Escapees & Walk-Aways)","0","58","0.22%"
"TOTAL","24224","26484","100.00%"
