"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,435","3,546","27.87%"
"Central Mississippi Correctional Facility","3,449","3,223","25.33%"
"South Mississippi Correctional Institution","3,204","3,141","24.68%"
"County Jails - Approved*","1,492","1,021","8.02%"
"County Jails - Unapproved**","0","208","1.63%"
"Community Work Centers","1,848","1,586","12.46%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14,428","12,725","100.00%"
"Bolivar County Correctional Facility","294","235","9.29%"
"Carroll County Correctional Facility","280","224","8.86%"
"George County Correctional Facility","280","223","8.82%"
"Holmes County Correctional Facility","280","225","8.90%"
"Issaquena County Correctional Facility","274","219","8.66%"
"Jefferson County Correctional Facility","280","224","8.86%"
"Kemper County Correctional Facility","355","283","11.19%"
"Leake County Correctional Facility","280","225","8.90%"
"Marion County Correctional Facility","280","224","8.86%"
"Stone County Correctional Facility","280","223","8.82%"
"Winston County Correctional Facility","280","224","8.86%"
"TOTAL REGIONAL FACILITIES","3,163","2,529","100.00%"
"Delta Correctional Facility","972","899","16.96%"
"East MS Correctional Facility","1,500","1,356","25.58%"
"Marshall County Correctional Facility","1,000","897","16.92%"
"Walnut Grove Correctional Facility","1,500","1,199","22.61%"
"Wilkinson County Correctional Facility","1,000","951","17.94%"
"TOTAL PRIVATE PRISONS","5,972","5,302","100.00%"
"Community Trusties","2","14",".06%"
"Emergency Suspension","02","0",".00%"
"Pending File Review","00","140",".57%"
"Court Order","0","265","1.09%"
"TOTAL CAPACITY & CUSTODY POPULATION","23,585","20,975","85.93%"
"Intensive Supervision Program","0","1,537","6.30%"
"Earned Release Supervision Program","00","1,445","5.92%"
"Medical Release","0","43",".18%"
"TOTAL COMMUNITY CORRECTIONS","0","3,025","12.39%"
"Other Custody","0000","355","1.45%"
"Off-Grounds Medical (Hospital)","0","12",".05%"
"At Large (Escapees & Walk-Aways)","0","42",".17%"
"TOTAL","23,585","24,409","100.00%"
