date,Custody Population,Custody Population %,Community Corrections,Community Corrections %,Other Custody,Other Custody %,At Large,At Large %,Off-Grounds Medical,Off-Grounds Medical %,INMATE TOTAL,INMATE TOTAL %,Parolees,PAROLEES %,TVC Parole,TVC Parole %,Probationers,PROBATIONERS %,TVC Probation,TVC Probation %,PAROLEE AND PROBATIONER TOTAL,PAROLEE AND PROBATIONER TOTAL %,"TOTAL INMATES, PAROLEES, & PROBATIONERS","TOTAL INMATES, PAROLEES, & PROBATIONERS %"
2001-04-01,18086,48.19%,2104,5.61%,200,0.53%,66,0.18%,,,20456,54.50%,1666,4.44%,,,15412,41.06%,,,17078,45.50%,37534,100.00%
2001-06-01,18255,48.02%,2141,5.63%,201,0.53%,70,0.18%,5,0.01%,20672,54.37%,1674,4.40%,,,15672,41.22%,,,17346,45.63%,38018,100.00%
2001-07-01,18333,48.07%,2126,5.57%,204,0.53%,72,0.19%,8,0.02%,20743,54.39%,1645,4.31%,,,15749,41.30%,,,17394,45.61%,38137,100.00%
2001-08-01,18560,48.46%,2152,5.62%,207,0.54%,77,0.20%,4,0.01%,21000,54.84%,1608,4.20%,,,15688,40.97%,,,17296,45.16%,38296,100.00%
2001-09-04,18581,48.20%,2239,5.81%,210,0.54%,78,0.20%,6,0.02%,21114,54.77%,1638,4.25%,,,15796,40.98%,,,17434,45.23%,38548,100.00%
2001-10-01,18694,48.32%,2227,5.76%,207,0.54%,84,0.22%,7,0.02%,21219,54.85%,1674,4.33%,,,15791,40.82%,,,17465,45.15%,38684,100.00%
2001-11-01,18875,48.54%,2228,5.73%,208,0.53%,85,0.22%,5,0.01%,21401,55.04%,1670,4.30%,,,15811,40.66%,,,17481,44.96%,38882,100.00%
2001-12-01,18905,48.52%,2344,6.02%,204,0.52%,79,0.20%,9,0.02%,21541,55.29%,1691,4.34%,,,15729,40.37%,,,17420,44.71%,38961,100.00%
2002-01-01,18893,48.60%,2362,6.08%,202,0.52%,80,0.21%,6,0.02%,21543,55.41%,1756,4.52%,,,15577,40.07%,,,17333,44.59%,38876,100.00%
2002-02-01,18700,48.27%,2317,5.98%,201,0.52%,76,0.20%,7,0.02%,21301,54.98%,1747,4.51%,,,15692,40.51%,,,17439,45.02%,38740,100.00%
2002-03-01,18766,48.13%,2344,6.01%,202,0.52%,78,0.20%,6,0.02%,21396,54.87%,1765,4.53%,,,15831,40.60%,,,17596,45.13%,38992,100.00%
2002-04-01,18902,48.46%,2434,6.24%,212,0.54%,85,0.22%,9,0.02%,21642,55.49%,1789,4.59%,,,15572,39.93%,,,17361,44.51%,39003,100.00%
2002-05-01,18938,48.26%,2497,6.36%,218,0.56%,91,0.23%,7,0.02%,21751,55.43%,1801,4.59%,,,15689,39.98%,,,17490,44.57%,39241,100.00%
2002-06-01,19073,48.68%,2468,6.30%,213,0.54%,95,0.24%,6,0.02%,21855,55.78%,1859,4.74%,,,15466,39.47%,,,17325,44.22%,39180,100.00%
2002-07-01,19278,49.21%,2483,6.34%,230,0.59%,89,0.23%,9,0.02%,22089,56.39%,1861,4.75%,,,15224,38.86%,,,17085,43.61%,39174,100.00%
2002-08-01,19290,48.90%,2499,6.34%,230,0.58%,89,0.23%,9,0.02%,22117,56.07%,1877,4.76%,,,15452,39.17%,,,17329,43.93%,39446,100.00%
2002-09-01,19349,48.50%,2531,6.34%,230,0.58%,83,0.21%,12,0.03%,22205,55.66%,1883,4.72%,,,15804,39.62%,,,17687,44.34%,39892,100.00%
2002-10-01,19327,47.82%,2597,6.43%,241,0.60%,83,0.21%,6,0.01%,22254,55.07%,1872,4.63%,,,16286,40.30%,,,18158,44.93%,40412,100.00%
2002-11-01,19663,48.39%,2549,6.27%,217,0.53%,82,0.20%,7,0.02%,22518,55.42%,1858,4.57%,,,16259,40.01%,,,18117,44.58%,40635,100.00%
2002-12-01,19846,48.55%,2526,6.18%,223,0.55%,87,0.21%,7,0.02%,22689,55.50%,1828,4.47%,,,16364,40.03%,,,18192,44.50%,40881,100.00%
2003-01-01,19930,48.30%,2539,6.15%,244,0.59%,97,0.24%,6,0.01%,22816,55.29%,1816,4.40%,,,16633,40.31%,,,18449,44.71%,41265,100.00%
2003-02-01,19905,48.08%,2511,6.07%,238,0.57%,92,0.22%,8,0.02%,22754,54.97%,1774,4.29%,,,16869,40.75%,,,18643,45.03%,41397,100.00%
2003-03-01,20145,48.00%,2605,6.21%,171,0.41%,148,0.35%,12,0.03%,23081,54.99%,1760,4.19%,,,17130,40.81%,,,18890,45.01%,41971,100.00%
2003-04-01,20219,48.09%,2635,6.27%,225,0.54%,101,0.24%,8,0.02%,23188,55.15%,1745,4.15%,,,17111,40.70%,,,18856,44.85%,42044,100.00%
2003-05-01,20343,48.31%,2627,6.24%,237,0.56%,96,0.23%,8,0.02%,23311,55.36%,1770,4.20%,,,17027,40.44%,,,18797,44.64%,42108,100.00%
2003-06-01,20429,48.38%,2513,5.95%,182,0.43%,146,0.35%,11,0.03%,23282,55.13%,1781,4.22%,,,17167,40.65%,,,18948,44.87%,42230,100.00%
2003-07-01,20534,47.59%,2596,6.02%,184,0.43%,153,0.35%,6,0.01%,23473,54.40%,1758,4.07%,,,17920,41.53%,,,19678,45.60%,43151,100.00%
2003-08-01,20511,47.21%,2588,5.96%,198,0.46%,156,0.36%,3,0.01%,23456,53.99%,1777,4.09%,,,18211,41.92%,,,19988,46.01%,43444,100.00%
2003-09-01,20526,46.76%,2620,5.97%,200,0.46%,158,0.36%,2,0.00%,23506,53.55%,1797,4.09%,,,18595,42.36%,,,20392,46.45%,43898,100.00%
2003-10-01,20497,46.27%,2647,5.98%,224,0.51%,152,0.34%,2,0.00%,23522,53.10%,1789,4.04%,,,18984,42.86%,,,20773,46.90%,44295,100.00%
2003-11-01,20551,46.34%,2612,5.89%,230,0.52%,153,0.35%,0,0.00%,23546,53.10%,1813,4.09%,,,18985,42.81%,,,20798,46.90%,44344,100.00%
2003-12-01,20586,46.26%,2596,5.83%,225,0.51%,163,0.37%,1,0.00%,23571,52.96%,1816,4.08%,,,19116,42.95%,,,20932,47.04%,44503,100.00%
