"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4529","4473","35.32%"
"Central Mississippi Correctional Facility","3293","3083","24.34%"
"South Mississippi Correctional Institution","2066","1920","15.16%"
"County Jails - Approved*","2056","1288","10.17%"
"County Jails - Unapproved**","0","147","1.16%"
"Community Work Centers","1816","1754","13.85%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13760","12665","100.00%"
"Bolivar County Correctional Facility","294","295","9.71%"
"Carroll County Correctional Facility","280","279","9.18%"
"George County Correctional Facility","280","279","9.18%"
"Holmes County Correctional Facility","280","277","9.12%"
"Issaquena County Correctional Facility","274","270","8.89%"
"Jefferson County Correctional Facility","250","248","8.16%"
"Kemper County Correctional Facility","280","274","9.02%"
"Leake County Correctional Facility","280","279","9.18%"
"Marion County Correctional Facility","280","279","9.18%"
"Stone County Correctional Facility","280","279","9.18%"
"Winston County Correctional Facility","280","279","9.18%"
"TOTAL REGIONAL FACILITIES","3058","3038","100.00%"
"Delta Correctional Facility","972","970","19.84%"
"East MS Correctional Facility","1000","875","17.90%"
"Marshall County Correctional Facility","1000","995","20.35%"
"Tallahatchie County Correctional Facility","128","127","2.60%"
"Walnut Grove Correctional Facility","1000","946","19.35%"
"Wilkinson County Correctional Facility","1000","976","19.96%"
"TOTAL PRIVATE PRISONS","5100","4889","100.00%"
"Community Trusties","2","20","0.08%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","22","0.09%"
"Court Order","0","341","1.38%"
"TOTAL CAPACITY & CUSTODY POPULATION","21940","20975","85.02%"
"Intensive Supervision Program","0","1565","6.34%"
"Earned Release Supervision Program","0","1667","6.76%"
"Medical Release","00","9","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3241","13.14%"
"Other Custody","0","318","1.29%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","131","0.53%"
"TOTAL","21940","24672","100.00%"
