"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4529","4429","34.46%"
"Central Mississippi Correctional Facility","3293","3292","25.61%"
"South Mississippi Correctional Institution","2066","1989","15.47%"
"County Jails - Approved*","1953","1204","9.37%"
"County Jails - Unapproved**","0","163","1.27%"
"Community Work Centers","1816","1776","13.82%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13657","12853","100.00%"
"Bolivar County Correctional Facility","294","292","9.66%"
"Carroll County Correctional Facility","280","279","9.23%"
"George County Correctional Facility","280","277","9.16%"
"Holmes County Correctional Facility","280","276","9.13%"
"Issaquena County Correctional Facility","274","268","8.86%"
"Jefferson County Correctional Facility","250","243","8.04%"
"Kemper County Correctional Facility","280","274","9.06%"
"Leake County Correctional Facility","280","280","9.26%"
"Marion County Correctional Facility","280","279","9.23%"
"Stone County Correctional Facility","280","279","9.23%"
"Winston County Correctional Facility","280","277","9.16%"
"TOTAL REGIONAL FACILITIES","3058","3024","100.00%"
"Delta Correctional Facility","972","965","19.84%"
"East MS Correctional Facility","1000","868","17.85%"
"Marshall County Correctional Facility","1000","992","20.40%"
"Tallahatchie County Correctional Facility","128","128","2.63%"
"Walnut Grove Correctional Facility","1000","947","19.47%"
"Wilkinson County Correctional Facility","1000","963","19.80%"
"TOTAL PRIVATE PRISONS","5100","4863","100.00%"
"Community Trusties","2","16","0.06%"
"Emergency Suspension","02","0","0.00%"
"Pending File Review","0","31","0.13%"
"Court Order","0","307","1.24%"
"TOTAL CAPACITY & CUSTODY POPULATION","21837","21094","85.08%"
"Intensive Supervision Program","0","1542","6.22%"
"Earned Release Supervision Program","0","1705","6.88%"
"Medical Release","00","9","0.04%"
"TOTAL COMMUNITY CORRECTIONS","00","3256","13.13%"
"Other Custody","0","311","1.25%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","124","0.50%"
"TOTAL","21837","24792","100.00%"
