"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4744","4423","33.84%"
"Central Mississippi Correctional Facility","3233","3056","23.38%"
"South Mississippi Correctional Institution","2214","2103","16.09%"
"County Jails - Approved*","2327","1599","12.23%"
"County Jails - Unapproved**","0","185","1.42%"
"Community Work Centers","1816","1706","13.05%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14334","13072","100.00%"
"Bolivar County Correctional Facility","250","249","9.09%"
"Carroll County Correctional Facility","250","250","9.13%"
"George County Correctional Facility","250","248","9.06%"
"Holmes County Correctional Facility","250","248","9.06%"
"Issaquena County Correctional Facility","250","248","9.06%"
"Jefferson County Correctional Facility","250","250","9.13%"
"Kemper County Correctional Facility","250","248","9.06%"
"Leake Correctional Facility","250","249","9.09%"
"Marion County Correctional Facility","250","247","9.02%"
"Stone County Correctional Facility","250","250","9.13%"
"Winston County Correctional Facility","250","251","9.17%"
"TOTAL REGIONAL FACILITIES","2750","2738","100.00%"
"Delta Correctional Facility (reopened 04-01-04)","960","957","20.03%"
"East MS Correctional Facility","1000","871","18.23%"
"Marshall County Correctional Facility","1000","994","20.81%"
"Tallahatchie County Correctional Facility","128","126","2.64%"
"Walnut Grove Correctional Facility","1000","843","17.65%"
"Wilkinson County Correctional Facility","1000","986","20.64%"
"TOTAL PRIVATE PRISONS","5088","4777","100.00%"
"Community Trusties","24","18","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","310","1.26%"
"Court Order","0","0","0.00%"
"TOTAL CAPACITY & CUSTODY POPULATION","22196","20915","85.28%"
"Intensive Supervision Program","0","1451","5.92%"
"Earned Release Supervision Program","0","1778","7.25%"
"Medical Release","00","5","0.02%"
"TOTAL COMMUNITY CORRECTIONS","00","3234","13.19%"
"Other Custody","0","262","1.07%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","105","0.43%"
"TOTAL","22196","24525","100.00%"
