"location","capacity","count","percent_of_total"
"Mississippi State Penitentiary","4630","4327","34.38%"
"Central Mississippi Correctional Facility","3219","3051","24.25%"
"South Mississippi Correctional Institution","2306","2164","17.20%"
"County Jails - Approved*","2240","1298","10.31%"
"County Jails - Unapproved**","0","64","0.51%"
"Community Work Centers","1846","1680","13.35%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","14241","12584","100.00%"
"Bolivar County Correctional Facility","294","291","9.91%"
"Carroll County Correctional Facility","250","245","8.34%"
"George County Correctional Facility","250","247","8.41%"
"Holmes County Correctional Facility","280","278","9.47%"
"Issaquena County Correctional Facility","274","268","9.13%"
"Jefferson County Correctional Facility","250","249","8.48%"
"Kemper County Correctional Facility","280","276","9.40%"
"Leake County Correctional Facility","280","279","9.50%"
"Marion County Correctional Facility","280","275","9.37%"
"Stone County Correctional Facility","280","278","9.47%"
"Winston County Correctional Facility","250","250","8.51%"
"TOTAL REGIONAL FACILITIES","2968","2936","100.00%"
"Delta Correctional Facility","972","966","19.99%"
"East MS Correctional Facility","1000","867","17.94%"
"Marshall County Correctional Facility","1000","991","20.50%"
"Tallahatchie County Correctional Facility","128","126","2.61%"
"Walnut Grove Correctional Facility","1000","916","18.95%"
"Wilkinson County Correctional Facility","1000","967","20.01%"
"TOTAL PRIVATE PRISONS","5100","4833","100.00%"
"Community Trusties","022","17","0.07%"
"Emergency Suspension","0","0","0.00%"
"Pending File Review","0","9","0.04%"
"Court Order","0","356","1.44%"
"TOTAL CAPACITY & CUSTODY POPULATION","22331","20735","83.97%"
"Intensive Supervision Program","0","1653","6.69%"
"Earned Release Supervision Program","00","1883","7.63%"
"Medical Release","0","8","0.03%"
"TOTAL COMMUNITY CORRECTIONS","00","3544","14.35%"
"Other Custody","0","295","1.19%"
"Off-Grounds Medical (Hospital)","0","7","0.03%"
"At Large (Escapees & Walk-Aways)","0","112","0.45%"
"TOTAL","22331","24693","100.00%"
